Duration	Ch2	Ch4	Ch6	Ch8	Ch7	Ch2+Ch3	Ch3+Ch4	Ch3+Ch6	Ch3+Ch8	Ch3+Ch7	Ch3
1.015	8004.913	8004.913	8004.913	8004.913	7526.096	3918.220	665.024	251.231	0.000	100.492	82423.507	0.940	1.000
1.022	8040.003	8040.003	8040.003	8040.003	7314.877	3948.565	647.819	215.287	0.000	108.622	82257.377	0.910	1.000
1.019	8061.188	8061.188	8061.188	8061.188	7266.063	3940.284	602.724	226.758	0.982	100.127	82201.147	0.901	1.000
1.021	8031.957	8031.957	8031.957	8031.957	7477.623	3994.921	591.550	251.703	0.979	102.836	82770.972	0.931	1.000
1.001	8069.378	8069.378	8069.378	8069.378	7338.430	3948.313	619.108	228.671	0.000	94.863	82636.978	0.909	1.000
1.017	7862.738	7862.738	7862.738	7862.738	7331.870	3834.043	598.701	223.161	1.966	97.326	81526.505	0.932	1.000
1.009	8123.635	8123.635	8123.635	8123.635	7358.171	3966.135	655.404	239.951	2.975	96.179	82520.389	0.906	1.000
1.023	8008.148	8008.148	8008.148	8008.148	7308.388	3926.866	644.053	239.443	0.000	101.641	82751.514	0.913	1.000
1.006	8023.497	8023.497	8023.497	8023.497	7368.376	3875.058	626.292	232.623	0.994	111.341	82477.694	0.918	1.000
1.001	8015.568	8015.568	8015.568	8015.568	7501.174	3931.374	663.220	232.726	0.000	106.874	82611.794	0.936	1.000
1.004	8084.078	8084.078	8084.078	8084.078	7505.150	3998.694	640.708	228.184	0.996	90.676	82540.702	0.928	1.000
1.013	8041.279	8041.279	8041.279	8041.279	7504.272	3882.439	634.734	233.953	2.961	108.586	82552.920	0.933	1.000
1.012	8106.742	8106.742	8107.730	8107.730	7073.394	3960.508	653.005	226.230	0.988	99.778	82496.914	0.873	1.000
1.009	7971.079	7971.079	7971.079	7971.079	7332.917	3800.235	638.162	230.888	1.982	100.084	82624.135	0.920	1.000
1.006	7962.643	7962.643	7962.643	7962.643	7291.634	3879.925	605.399	223.670	0.994	77.539	82381.050	0.916	1.000
1.014	8053.989	8053.989	8053.989	8053.989	7264.073	3864.771	616.352	246.541	1.972	105.519	82003.352	0.902	1.000
1.019	8014.171	8014.171	8014.171	8014.171	7270.173	3916.294	643.882	218.881	3.926	102.079	82052.740	0.907	1.000
1.010	7971.505	7971.505	7971.505	7971.505	7294.595	3965.465	566.071	282.046	0.990	103.912	81940.736	0.915	1.000
1.011	8031.500	8031.500	8031.500	8031.500	7207.782	3908.953	613.092	238.315	0.989	100.863	82551.795	0.897	1.000
1.023	7888.981	7888.981	7888.981	7888.981	7483.440	3830.646	607.822	243.324	0.977	116.287	82469.311	0.949	1.000
1.021	8168.694	8168.694	8168.694	8168.694	7174.900	4056.442	636.420	209.529	0.000	102.806	82826.618	0.878	1.000
1.007	7978.047	7978.047	7978.047	7978.047	7396.977	3876.783	620.802	206.603	0.000	107.275	82406.713	0.927	1.000
1.015	8119.254	8119.254	8119.254	8119.254	7282.217	3955.736	643.041	215.660	0.985	120.139	82876.460	0.897	1.000
1.001	7883.174	7883.174	7883.174	7883.174	7318.878	3803.260	619.228	229.714	0.999	123.846	82228.509	0.928	1.000
1.007	8002.087	8002.087	8002.087	8002.087	7432.353	3870.025	657.080	207.447	1.985	95.287	82783.193	0.929	1.000
1.018	8020.402	8020.402	8020.402	8020.402	7408.435	3943.896	620.808	221.015	0.000	94.300	81932.853	0.924	1.000
1.012	8105.438	8105.438	8105.438	8105.438	7468.787	3934.583	648.514	230.341	0.000	95.893	82390.953	0.921	1.000
1.007	8026.615	8026.615	8026.615	8026.615	7348.128	3946.750	628.818	229.474	2.980	107.286	82251.945	0.915	1.000
1.014	7956.756	7956.756	7956.756	7956.756	7337.415	3900.467	612.437	214.008	0.000	109.469	82350.650	0.922	1.000
1.013	7885.123	7885.123	7885.123	7885.123	7474.326	3860.106	587.558	211.323	0.000	122.449	82531.612	0.948	1.000
1.015	8067.165	8068.150	8068.150	8068.150	7264.585	3991.238	584.948	251.114	0.000	99.461	82067.060	0.901	1.000
1.006	8185.576	8185.576	8185.576	8185.576	7131.810	3943.670	669.042	228.647	0.000	99.412	82083.413	0.871	1.000
1.010	8057.421	8057.421	8057.421	8057.421	7354.106	3931.633	610.201	233.778	2.972	109.955	82302.784	0.913	1.000
1.023	8244.135	8244.135	8244.135	8244.135	7269.232	4057.041	600.391	233.703	0.978	99.739	82548.908	0.882	1.000
1.016	8084.770	8084.770	8084.770	8084.770	7286.335	3901.601	648.790	245.142	1.969	88.606	82071.442	0.901	1.000
1.021	8119.737	8119.737	8119.737	8119.737	7296.890	3980.033	620.074	212.569	0.000	105.795	82694.169	0.899	1.000
1.016	8151.971	8151.971	8151.971	8151.971	7288.531	3965.717	604.506	220.536	0.985	102.392	82239.405	0.894	1.000
1.005	7829.118	7829.118	7829.118	7829.118	7204.221	3810.078	595.045	214.933	0.995	97.516	82229.620	0.920	1.000
1.006	7988.313	7988.313	7988.313	7988.313	7352.270	3931.546	625.112	214.665	1.988	99.382	82196.744	0.920	1.000
1.013	7988.740	7988.740	7988.740	7988.740	7169.534	3857.178	645.495	230.957	0.987	97.713	82512.811	0.897	1.000
1.022	8025.459	8025.459	8025.459	8025.459	7299.519	3914.405	618.321	224.044	1.957	107.619	82203.481	0.910	1.000
1.005	7971.844	7971.844	7971.844	7971.844	7403.635	3910.791	609.009	236.837	0.000	107.472	82468.930	0.929	1.000
1.006	7920.414	7920.414	7920.414	7920.414	7402.590	3857.338	631.128	236.549	0.000	106.348	82160.006	0.935	1.000
1.018	7973.000	7973.000	7973.000	7973.000	7234.614	3858.854	616.631	229.764	0.000	105.063	81889.194	0.907	1.000
1.008	8121.792	8121.792	8121.792	8121.792	7459.781	3951.222	573.677	222.324	0.993	95.282	81960.321	0.918	1.000
1.014	8078.208	8078.208	8078.208	8078.208	7329.568	3977.950	618.442	261.383	0.000	104.553	82541.727	0.907	1.000
1.013	8008.017	8008.017	8008.017	8008.017	7158.158	3963.045	600.132	235.907	0.987	116.473	82323.754	0.894	1.000
1.022	7944.712	7944.712	7944.712	7944.712	7231.537	3801.644	612.411	270.987	0.000	109.569	82098.296	0.910	1.000
1.009	8117.027	8117.027	8117.027	8117.027	7357.945	3977.749	630.256	210.085	2.973	112.970	82518.978	0.906	1.000
1.011	7946.066	7946.066	7946.066	7946.066	7279.609	3854.376	630.860	230.392	0.989	123.601	82382.594	0.916	1.000
1.000	8076.019	8076.019	8076.019	8076.019	7263.218	3980.024	619.848	241.941	0.000	101.975	82227.831	0.899	1.000
1.020	8096.476	8096.476	8096.476	8096.476	7364.176	3951.676	630.347	236.258	0.000	111.757	82941.087	0.910	1.000
1.005	7970.107	7970.107	7970.107	7970.107	7369.960	3923.347	631.000	243.841	2.986	116.446	83292.993	0.925	1.000
1.011	7965.775	7965.775	7965.775	7965.775	7427.934	3885.503	595.184	216.520	0.989	101.834	82332.121	0.932	1.000
1.022	8055.609	8055.609	8055.609	8055.609	7308.252	3994.056	609.429	235.750	0.000	103.691	82199.495	0.907	1.000
1.000	8035.906	8035.906	8035.906	8035.906	7287.914	3878.954	624.993	250.997	2.000	97.999	82191.034	0.907	1.000
1.017	8046.996	8046.996	8046.996	8046.996	7336.099	4004.816	616.504	231.066	1.967	101.276	82330.286	0.912	1.000
1.010	7827.673	7827.673	7827.673	7827.673	7296.128	3816.832	624.591	234.593	2.970	103.933	82540.974	0.932	1.000
1.004	8056.619	8056.619	8056.619	8056.619	7286.523	3960.067	631.618	218.177	0.000	116.560	82297.660	0.904	1.000
1.001	8128.160	8128.160	8128.160	8128.160	7455.726	3913.706	628.471	222.812	0.999	93.921	82237.793	0.917	1.000
1.008	8164.510	8164.510	8164.510	8164.510	7289.423	3968.653	628.039	232.166	0.992	114.099	81792.936	0.893	1.000
1.005	8000.795	8000.795	8000.795	8000.795	7462.232	4004.877	618.203	234.937	0.995	108.509	82491.709	0.933	1.000
1.009	8010.255	8010.255	8010.255	8010.255	7379.979	3887.694	687.754	243.786	0.991	103.064	82242.120	0.921	1.000
1.008	7943.152	7943.152	7943.152	7943.152	7382.517	3869.868	569.565	242.115	2.977	108.158	82827.078	0.929	1.000
1.004	7962.970	7962.970	7962.970	7962.970	7389.277	3894.335	634.448	239.038	0.000	79.679	81769.093	0.928	1.000
1.003	8057.263	8057.263	8057.263	8057.263	7482.884	3935.893	621.247	248.299	0.997	111.685	82225.962	0.929	1.000
1.019	8024.566	8024.566	8024.566	8024.566	7392.571	3925.433	634.939	282.631	0.000	116.782	81965.981	0.921	1.000
1.003	8066.608	8066.608	8066.608	8066.608	7118.709	3945.092	611.001	235.230	1.993	109.641	81707.669	0.882	1.000
1.011	8101.816	8101.816	8101.816	8101.816	7218.647	3987.612	614.164	200.765	1.978	95.932	82338.460	0.891	1.000
1.022	8020.800	8020.800	8020.800	8020.800	7273.587	3933.625	638.652	248.419	0.000	96.825	82539.615	0.907	1.000
1.010	8085.744	8085.744	8085.744	8085.744	7323.685	3998.336	656.163	220.700	0.000	106.886	82360.771	0.906	1.000
1.010	7950.242	7950.242	7950.242	7950.242	7244.060	3902.324	615.062	229.782	2.971	103.006	82108.264	0.911	1.000
1.019	7996.842	7996.842	7996.842	7996.842	7256.739	3884.068	580.107	258.153	1.963	96.194	82630.439	0.907	1.000
1.002	8045.320	8045.320	8045.320	8045.320	7337.523	3907.356	622.941	229.610	0.998	91.844	82676.418	0.912	1.000
1.002	8051.828	8051.828	8051.828	8051.828	7200.327	3969.014	643.867	230.594	0.998	91.838	82256.223	0.894	1.000
