Duration	Ch2	Ch4	Ch6	Ch8	Ch7	Ch2+Ch3	Ch3+Ch4	Ch3+Ch6	Ch3+Ch8	Ch3+Ch7	Ch3
0.116	2371.627	2371.627	2371.627	2371.627	7347.732	0.000	0.000	0.000	0.000	0.000	0.000	3.098	1.000
0.117	2557.961	2557.961	2557.961	2557.961	7094.078	0.000	0.000	0.000	0.000	0.000	0.000	2.773	1.000
0.101	1959.096	1959.096	1959.096	1959.096	7418.710	0.000	0.000	0.000	0.000	0.000	0.000	3.787	1.000
0.115	2392.600	2392.600	2392.600	2392.600	7082.443	0.000	0.000	0.000	0.000	0.000	0.000	2.960	1.000
0.118	2036.329	2036.329	2036.329	2036.329	6932.005	0.000	0.000	0.000	0.000	0.000	0.000	3.404	1.000
0.117	2881.754	2881.754	2881.754	2881.754	4723.348	494.502	144.940	0.000	0.000	17.052	10444.227	1.639	1.000
0.123	5065.794	5065.794	5065.794	5065.794	2569.488	1683.177	853.785	8.131	0.000	40.656	38721.203	0.507	1.000
0.124	4774.370	4774.370	4774.370	4774.370	2681.054	1376.757	571.636	24.154	8.051	64.410	38460.647	0.562	1.000
0.116	5107.752	5107.752	5107.752	5107.752	2837.640	1762.776	619.121	8.599	0.000	51.593	39606.578	0.556	1.000
0.124	2570.889	2570.889	2570.889	2570.889	7375.238	0.000	0.000	0.000	0.000	0.000	0.000	2.869	1.000
0.122	2527.012	2527.012	2527.012	2527.012	7139.421	0.000	0.000	0.000	0.000	0.000	0.000	2.825	1.000
0.118	2569.388	2569.388	2569.388	2569.388	6575.604	0.000	0.000	0.000	0.000	0.000	0.000	2.559	1.000
0.119	2328.140	2328.140	2328.140	2328.140	7532.715	0.000	0.000	0.000	0.000	0.000	0.000	3.236	1.000
0.120	5149.217	5149.217	5149.217	5149.217	2878.238	1780.182	623.895	33.274	0.000	49.912	38440.278	0.559	1.000
0.120	4934.161	4934.161	4934.161	4934.161	2621.013	1547.646	624.051	0.000	0.000	58.245	37576.177	0.531	1.000
0.119	4868.791	4868.791	4868.791	4868.791	3069.272	1522.023	689.535	25.227	0.000	42.045	39034.415	0.630	1.000
0.120	4994.495	4994.495	4994.495	4994.495	2864.736	1603.584	751.680	16.704	0.000	33.408	38653.051	0.574	1.000
0.112	4988.589	4988.589	4988.589	4988.589	2837.873	1543.875	767.475	8.924	0.000	53.545	38364.837	0.569	1.000
0.116	5202.949	5202.949	5202.949	5202.949	2954.655	1852.043	706.361	43.071	0.000	51.685	39745.705	0.568	1.000
0.128	5072.423	5072.423	5072.423	5072.423	2665.570	1646.382	682.072	23.520	7.840	31.360	40375.547	0.526	1.000
0.123	4836.332	4836.332	4836.332	4836.332	2731.105	1576.888	674.648	8.128	8.128	48.770	38918.250	0.565	1.000
0.122	5094.067	5094.067	5094.067	5094.067	2849.086	1681.695	816.357	32.654	8.164	32.654	39715.766	0.559	1.000
0.123	5123.879	5123.879	5123.879	5123.879	2851.125	1759.552	562.079	40.730	0.000	73.315	39060.416	0.556	1.000
0.119	5075.447	5075.447	5075.447	5075.447	2912.280	1750.735	648.109	8.417	0.000	67.336	39223.191	0.574	1.000
0.123	5105.771	5105.771	5105.771	5105.771	2833.825	1636.778	684.027	24.430	0.000	48.859	39461.827	0.555	1.000
0.123	5385.413	5385.413	5385.413	5385.413	2937.498	1852.256	701.736	16.319	0.000	48.958	39191.116	0.545	1.000
0.101	4755.858	4755.858	4755.858	4755.858	2545.667	1509.640	532.814	39.468	0.000	59.202	38411.944	0.535	1.000
0.116	5015.645	5015.645	5015.645	5015.645	2731.122	1528.741	747.194	42.942	0.000	34.354	38338.767	0.545	1.000
0.117	5078.247	5078.247	5078.247	5078.247	2959.451	1664.155	574.734	34.312	0.000	68.625	39382.146	0.583	1.000
0.122	5252.632	5252.632	5252.632	5252.632	3040.135	1679.859	630.971	24.583	0.000	40.972	38489.258	0.579	1.000
0.125	4779.815	4771.795	4771.795	4771.795	2919.216	1483.667	569.407	0.000	0.000	56.139	37957.826	0.611	1.000
0.119	5492.085	5492.085	5492.085	5492.085	2586.487	2015.444	755.792	16.795	0.000	25.193	39595.080	0.471	1.000
