Duration	Ch2	Ch4	Ch6	Ch8	Ch7	Ch2+Ch3	Ch3+Ch4	Ch3+Ch7	Ch3+Ch6	Ch2+Ch8	Ch3
1.007	6418.220	6418.220	6418.220	6418.220	5260.755	2708.370	541.475	83.457	199.700	0.000	59432.125	0.000	65850.345	0.820	1.000
1.011	6393.543	6393.543	6393.543	6393.543	5269.110	2725.538	523.153	85.049	202.734	0.989	59428.800	0.000	65822.343	0.824	1.000
1.018	6453.903	6453.903	6453.903	6453.903	5036.067	2739.447	537.089	90.333	194.412	0.000	59679.698	0.000	66133.600	0.780	1.000
1.003	6445.277	6445.277	6445.277	6445.277	5162.600	2770.662	540.179	85.711	169.429	0.000	60130.335	0.000	66575.611	0.801	1.000
1.017	6428.901	6428.901	6428.901	6428.901	5200.323	2690.094	550.403	81.578	198.538	0.000	59219.407	0.000	65648.308	0.809	1.000
1.007	6446.060	6446.060	6446.060	6446.060	5246.977	2729.699	525.095	94.299	209.442	0.000	59779.411	0.000	66225.470	0.814	1.000
1.000	6552.972	6552.972	6552.972	6552.972	5186.187	2918.542	535.916	91.986	194.969	0.000	59637.647	0.000	66190.619	0.791	1.000
1.008	6381.777	6381.777	6381.777	6381.777	5141.923	2751.484	522.723	83.318	187.466	0.992	60039.688	0.000	66421.466	0.806	1.000
1.008	6519.795	6519.795	6519.795	6519.795	5208.890	2875.855	496.179	93.282	184.579	0.000	59607.998	0.000	66127.793	0.799	1.000
1.014	6403.342	6403.342	6403.342	6403.342	5289.932	2708.082	560.157	79.882	165.680	0.000	59755.324	0.000	66158.666	0.826	1.000
1.009	6492.167	6492.167	6492.167	6492.167	5311.323	2844.537	526.472	82.292	169.542	0.000	60164.585	0.000	66656.752	0.818	1.000
1.017	6337.692	6337.692	6337.692	6337.692	5132.901	2666.276	533.059	90.482	187.849	0.000	59825.494	0.000	66163.186	0.810	1.000
1.001	6688.857	6688.857	6688.857	6688.857	5240.620	2839.543	568.308	86.894	185.774	0.000	60104.831	0.000	66793.689	0.783	1.000
1.011	6430.250	6430.250	6430.250	6430.250	5292.591	2747.201	513.431	108.820	188.950	0.000	59927.955	0.000	66358.206	0.823	1.000
1.007	6311.746	6311.746	6311.746	6311.746	5101.846	2707.872	534.422	92.382	182.776	0.000	59448.026	0.000	65759.773	0.808	1.000
1.005	6352.501	6352.501	6352.501	6352.501	5177.880	2758.022	526.143	79.568	208.866	0.995	59341.724	0.000	65694.225	0.815	1.000
1.007	6319.964	6319.964	6319.964	6319.964	5361.942	2719.193	488.442	106.226	192.597	1.986	59887.765	0.000	66207.729	0.848	1.000
1.017	6347.149	6347.149	6347.149	6347.149	5232.096	2801.399	496.562	78.663	184.859	0.000	59755.631	0.000	66102.780	0.824	1.000
1.019	6476.253	6476.253	6476.253	6476.253	5158.434	2760.258	523.988	82.425	175.644	0.000	59567.790	0.000	66044.043	0.797	1.000
1.022	6433.334	6433.334	6433.334	6433.334	5208.310	2733.800	539.128	94.910	166.337	0.978	59385.298	0.000	65818.632	0.810	1.000
1.012	6479.884	6479.884	6479.884	6479.884	5278.185	2797.705	498.073	101.789	195.671	0.000	60279.622	0.000	66759.506	0.815	1.000
1.007	6373.450	6373.450	6373.450	6373.450	5083.467	2717.008	516.390	76.466	188.681	0.000	59457.394	0.000	65830.843	0.798	1.000
1.009	6513.423	6513.423	6513.423	6513.423	5091.988	2767.536	527.338	70.378	193.291	0.991	59933.208	0.000	66446.632	0.782	1.000
1.003	6493.388	6493.388	6493.388	6493.388	5159.799	2802.829	494.734	83.786	181.536	0.997	59831.928	0.000	66325.316	0.795	1.000
1.006	6427.919	6427.919	6427.919	6427.919	5099.787	2765.616	517.932	86.488	203.793	0.000	60150.647	0.000	66578.565	0.793	1.000
1.022	6534.632	6534.632	6534.632	6534.632	5014.745	2821.528	490.318	71.443	188.885	1.957	59771.773	0.000	66306.406	0.767	1.000
1.004	6488.028	6488.028	6488.028	6488.028	5236.424	2869.628	503.828	94.592	196.154	0.000	60015.253	0.000	66503.281	0.807	1.000
1.020	6329.413	6329.413	6329.413	6329.413	5105.884	2703.922	543.137	103.922	168.627	0.000	59534.327	0.000	65863.740	0.807	1.000
1.008	6482.357	6482.357	6482.357	6482.357	5123.969	2741.581	555.659	107.163	197.457	0.000	60084.589	0.000	66566.946	0.790	1.000
1.024	6431.815	6431.815	6431.815	6431.815	5168.510	2799.202	525.644	98.680	183.682	0.000	59963.509	0.000	66395.323	0.804	1.000
1.024	6427.956	6427.956	6427.956	6427.956	5154.668	2839.510	489.200	80.069	162.090	0.000	59581.865	0.000	66009.821	0.802	1.000
1.005	6461.710	6461.710	6461.710	6461.710	5161.603	2831.167	566.432	99.549	187.152	0.000	59889.529	0.000	66351.238	0.799	1.000
1.027	6368.935	6368.935	6368.935	6368.935	5027.543	2689.604	517.269	90.595	186.061	0.974	59980.799	0.000	66349.734	0.789	1.000
1.013	6631.160	6631.160	6631.160	6631.160	5144.184	2867.315	513.431	93.800	204.385	0.000	59586.637	0.000	66217.796	0.776	1.000
1.015	6424.783	6424.783	6424.783	6424.783	5215.273	2775.569	550.583	96.524	159.561	0.000	59894.385	0.000	66319.168	0.812	1.000
1.007	6625.473	6625.473	6625.473	6625.473	5285.088	2756.229	529.204	82.409	177.725	0.000	59717.627	0.000	66343.100	0.798	1.000
1.006	6547.925	6546.931	6546.931	6546.931	5225.022	2780.980	522.800	67.586	208.723	0.000	59665.833	0.000	66212.765	0.798	1.000
1.002	6422.668	6422.668	6422.668	6422.668	5183.854	2675.280	540.047	83.852	211.627	0.000	59491.037	0.000	65913.705	0.807	1.000
1.003	6295.709	6295.709	6295.709	6295.709	5081.430	2766.523	506.448	78.759	186.429	0.000	59748.918	0.000	66044.627	0.807	1.000
1.016	6590.540	6590.540	6590.540	6590.540	5252.159	2745.648	570.780	96.442	195.837	0.000	59487.076	0.000	66077.615	0.797	1.000
1.004	6452.072	6452.072	6452.072	6452.072	5212.860	2770.297	516.006	96.627	178.311	0.000	59835.818	0.000	66287.890	0.808	1.000
1.008	6403.704	6403.704	6403.704	6403.704	5310.969	2751.669	521.578	86.269	225.091	0.000	59909.036	0.000	66312.740	0.829	1.000
1.002	6453.280	6453.280	6453.280	6453.280	5264.623	2704.669	544.926	87.827	196.612	0.000	59975.782	0.000	66429.062	0.816	1.000
1.010	6299.753	6299.753	6299.753	6299.753	5086.357	2718.007	520.027	97.072	173.342	0.991	59491.064	0.000	65790.817	0.807	1.000
