Duration	Ch2	Ch4	Ch6	Ch8	Ch7	Ch2+Ch3	Ch3+Ch4	Ch3+Ch7	Ch3+Ch6	Ch2+Ch8	Ch3
1.009	3371.389	3371.389	3371.389	3371.389	1591.026	652.271	119.946	17.843	56.504	0.991	14376.728	0.000	17748.117	0.472	1.000
1.004	3349.502	3349.502	3349.502	3349.502	1581.626	617.512	127.486	21.912	45.815	0.000	14544.388	0.000	17893.890	0.472	1.000
1.017	3331.756	3331.756	3331.756	3331.756	1516.489	635.884	142.509	17.691	37.347	0.000	14296.081	0.000	17627.837	0.455	1.000
1.003	3285.425	3285.425	3285.425	3285.425	1566.956	619.008	118.618	20.933	44.856	0.000	14094.632	0.000	17380.056	0.477	1.000
1.011	3407.675	3407.675	3407.675	3407.675	1535.728	663.537	141.410	23.733	55.377	0.000	14353.569	0.000	17761.244	0.451	1.000
1.005	3462.268	3462.268	3462.268	3462.268	1505.161	669.956	150.317	19.910	47.783	0.000	14292.057	0.000	17754.325	0.435	1.000
1.007	3352.391	3352.391	3352.391	3352.391	1540.610	654.585	133.102	20.859	43.705	0.000	14442.598	0.000	17794.989	0.460	1.000
1.015	3328.003	3328.003	3328.003	3328.003	1586.686	634.281	127.053	31.517	39.396	0.000	14401.320	0.000	17729.323	0.477	1.000
1.011	3274.345	3274.345	3274.345	3274.345	1579.320	631.926	129.550	21.756	39.557	0.000	14425.512	0.000	17699.857	0.482	1.000
1.012	3225.041	3225.041	3225.041	3225.041	1618.945	627.613	135.406	24.709	44.477	0.000	14513.178	0.000	17738.219	0.502	1.000
1.006	3283.774	3283.774	3283.774	3283.774	1573.309	643.039	125.229	19.878	37.767	0.000	14482.794	0.000	17766.568	0.479	1.000
1.012	3408.078	3408.078	3408.078	3408.078	1599.266	653.347	118.611	18.780	49.421	0.988	14409.213	0.000	17817.291	0.469	1.000
1.010	3367.423	3367.423	3367.423	3367.423	1524.254	653.676	116.869	24.760	49.521	0.000	14456.148	0.000	17823.571	0.453	1.000
1.014	3386.501	3386.501	3386.501	3386.501	1464.460	658.760	132.147	19.723	34.516	0.000	14253.087	0.000	17639.589	0.432	1.000
1.004	3322.713	3322.713	3322.713	3322.713	1561.287	621.328	105.546	28.876	59.743	0.000	14223.841	0.000	17546.554	0.470	1.000
1.016	3379.500	3379.500	3379.500	3379.500	1574.607	650.510	127.937	15.746	51.175	0.000	14512.956	0.000	17892.456	0.466	1.000
1.028	3324.836	3324.836	3324.836	3324.836	1572.413	657.767	116.763	15.568	56.436	0.000	14469.898	0.000	17794.735	0.473	1.000
1.007	3325.771	3325.771	3325.771	3325.771	1600.304	634.757	126.157	13.907	46.688	0.993	14230.882	0.000	17556.652	0.481	1.000
1.013	3353.305	3353.305	3353.305	3353.305	1607.573	626.648	124.343	17.763	50.329	0.000	14338.881	0.000	17692.185	0.479	1.000
1.001	3463.324	3463.324	3463.324	3463.324	1605.296	698.259	107.885	19.979	44.952	0.000	14378.739	0.000	17842.063	0.464	1.000
1.013	3403.122	3403.122	3403.122	3403.122	1451.854	685.954	116.464	16.779	43.427	0.000	14437.607	0.000	17840.729	0.427	1.000
1.008	3340.885	3340.885	3340.885	3340.885	1566.226	620.337	118.112	22.828	41.687	0.000	14460.294	0.000	17801.178	0.469	1.000
