Duration	Ch1	Ch2	Ch1+Ch2	Ch2+Ch3	Ch2+Ch6	Ch2+Ch4
0.113	3035.406	133060.857	701.161	461.524	17.751	26.626	NaN	NaN
0.111	2969.863	132041.917	665.969	413.981	26.999	44.998	NaN	NaN
0.119	3528.866	132833.599	825.367	547.437	42.111	25.266	NaN	NaN
0.114	2915.493	132813.011	623.494	509.333	43.908	8.782	NaN	NaN
0.114	3121.677	134861.702	734.512	437.210	34.977	43.721	NaN	NaN
0.117	3249.251	131680.188	726.806	547.242	42.753	34.203	NaN	NaN
0.120	2944.607	131495.129	652.498	401.537	25.096	8.365	NaN	NaN
0.114	3128.692	132331.435	742.846	471.926	26.218	26.218	NaN	NaN
0.117	3429.965	130450.145	797.467	471.620	17.150	42.875	NaN	NaN
0.113	2976.304	132472.113	637.779	558.057	17.716	17.716	NaN	NaN
0.118	3046.095	133296.446	672.183	502.010	8.509	42.543	NaN	NaN
0.121	3054.222	131496.651	685.136	470.515	41.273	16.509	NaN	NaN
0.116	2903.382	131608.478	603.076	448.000	25.846	17.231	NaN	NaN
0.117	3131.509	130644.502	699.683	494.898	34.131	8.533	NaN	NaN
0.114	3137.777	132197.440	690.486	489.458	26.221	26.221	NaN	NaN
0.119	3300.879	132910.899	757.855	488.395	8.421	25.262	NaN	NaN
0.118	2934.671	132535.182	602.201	441.049	16.963	33.927	NaN	NaN
0.115	2810.770	135282.441	609.145	469.912	26.106	8.702	NaN	NaN
0.116	3029.050	133648.228	679.815	456.079	17.211	43.026	NaN	NaN
0.118	2903.655	132459.133	677.237	440.204	50.793	33.862	NaN	NaN
0.091	3468.279	132877.052	850.501	563.319	11.045	0.000	NaN	NaN
0.022	2936.011	128823.109	677.541	496.863	90.339	45.169	NaN	NaN
Duration	Ch1	Ch2	Ch1+Ch2	Ch2+Ch3	Ch2+Ch6	Ch2+Ch4
1.017	3157.709	132311.952	697.450	479.067	24.593	19.674	NaN	NaN
1.001	3104.072	132986.701	751.050	450.430	24.968	27.965	NaN	NaN
1.011	2989.875	131827.388	726.706	443.933	25.707	21.752	NaN	NaN
1.014	2997.832	132744.089	690.517	415.297	31.567	18.743	NaN	NaN
1.023	3190.816	131683.025	726.563	435.156	21.513	30.314	NaN	NaN
1.024	3185.834	132535.013	739.551	462.097	17.585	32.239	NaN	NaN
1.019	3060.537	131825.749	723.935	431.614	30.409	18.638	NaN	NaN
1.006	2971.730	132740.607	682.036	379.793	25.850	27.838	NaN	NaN
1.007	3150.733	132204.650	728.086	471.815	20.859	24.832	NaN	NaN
1.010	3010.989	132268.733	676.037	465.209	27.715	27.715	NaN	NaN
1.007	3042.776	131795.701	703.096	458.800	25.820	19.861	NaN	NaN
1.009	2992.085	131856.838	657.862	445.841	28.732	24.769	NaN	NaN
1.008	2919.272	132283.130	702.531	406.833	18.853	29.768	NaN	NaN
1.003	2980.809	132659.485	651.211	446.772	30.915	20.942	NaN	NaN
1.007	2992.498	132631.626	721.299	409.332	24.838	14.903	NaN	NaN
1.020	3043.493	132731.213	723.614	436.326	30.396	22.552	NaN	NaN
1.023	3049.216	132444.863	724.421	432.111	27.374	25.418	NaN	NaN
1.008	2964.883	133006.242	681.229	424.405	35.698	21.815	NaN	NaN
1.008	3210.879	131908.826	738.760	472.013	26.774	19.832	NaN	NaN
1.001	3072.202	132565.421	711.584	418.755	26.984	21.987	NaN	NaN
1.024	3238.357	131797.702	735.591	456.203	24.422	24.422	NaN	NaN
1.015	3129.243	132023.142	736.756	427.476	20.684	23.639	NaN	NaN
1.016	3041.515	132293.616	723.233	420.164	28.536	20.664	NaN	NaN
1.006	2936.298	131709.958	713.697	407.543	27.832	24.850	NaN	NaN
1.009	3050.683	132474.755	691.805	436.095	22.796	21.805	NaN	NaN
1.004	3157.944	132192.626	733.734	434.068	25.885	24.889	NaN	NaN
1.014	3108.457	132759.020	717.184	440.965	24.662	36.500	NaN	NaN
1.003	3138.996	132500.913	718.938	470.650	23.931	27.920	NaN	NaN
1.020	3220.726	132451.867	725.742	468.790	28.441	23.538	NaN	NaN
1.025	3068.758	132306.019	719.362	433.374	27.330	17.569	NaN	NaN
1.003	3061.334	132896.960	707.535	438.472	35.875	26.906	NaN	NaN
1.024	3137.344	132491.008	717.693	459.909	33.199	25.388	NaN	NaN
1.021	3096.714	131596.167	708.827	464.067	25.455	19.581	NaN	NaN
1.009	3267.734	131373.208	737.172	458.751	23.780	18.826	NaN	NaN
1.001	3211.392	132067.733	773.372	456.629	28.976	26.978	NaN	NaN
1.020	3080.548	132077.145	745.373	413.878	32.365	26.480	NaN	NaN
1.014	3123.425	132689.859	759.406	430.001	32.546	28.601	NaN	NaN
1.012	2965.710	132434.758	710.782	453.754	16.806	18.783	NaN	NaN
1.020	3150.520	132456.143	758.713	427.389	41.170	19.605	NaN	NaN
1.007	3097.859	131473.882	738.483	429.789	24.815	22.829	NaN	NaN
1.019	3166.930	131674.415	757.629	458.307	29.442	22.572	NaN	NaN
1.002	2882.443	132825.826	699.409	384.126	35.918	21.950	NaN	NaN
1.023	2949.458	131175.612	671.397	422.189	27.364	15.637	NaN	NaN
1.009	2934.854	132022.831	667.283	425.356	12.890	29.745	NaN	NaN
1.016	3095.978	132895.884	728.986	433.850	37.384	26.562	NaN	NaN
1.023	3072.599	133083.696	714.626	457.517	35.194	24.440	NaN	NaN
1.002	3014.356	132622.700	726.640	407.238	28.946	29.944	NaN	NaN
1.012	3119.082	132109.316	749.133	408.169	22.731	29.649	NaN	NaN
1.022	3087.582	131805.703	716.585	424.861	34.263	19.579	NaN	NaN
1.022	3060.905	132280.398	719.234	440.348	32.292	31.314	NaN	NaN
1.020	3135.324	132578.420	735.071	444.963	29.403	20.582	NaN	NaN
1.020	3037.975	132422.401	735.974	404.737	24.500	25.480	NaN	NaN
1.000	3065.889	132791.892	709.743	442.840	25.991	21.992	NaN	NaN
1.021	2962.844	132060.156	714.257	388.971	28.414	21.555	NaN	NaN
1.012	3077.220	132222.633	721.378	451.602	34.587	22.728	NaN	NaN
1.023	3100.099	132110.940	735.931	427.094	30.297	17.592	NaN	NaN
1.002	3015.245	132290.401	685.918	421.336	23.962	29.953	NaN	NaN
1.004	2973.623	131937.219	702.313	432.346	22.912	21.916	NaN	NaN
1.002	2880.182	132508.320	702.824	402.327	31.947	12.978	NaN	NaN
1.021	3140.491	132619.615	719.002	459.417	31.346	19.591	NaN	NaN
1.004	3192.177	132563.003	735.277	471.255	36.863	27.897	NaN	NaN
1.015	2978.638	132156.098	688.970	415.945	19.713	25.627	NaN	NaN
1.023	3054.546	132050.216	707.677	440.832	37.143	32.256	NaN	NaN
1.001	3122.117	132621.037	726.097	444.447	18.976	14.981	NaN	NaN
1.004	2950.041	132216.183	676.030	399.246	31.860	21.904	NaN	NaN
1.003	3057.632	132045.611	744.961	418.854	26.926	22.937	NaN	NaN
1.021	3030.953	131923.786	683.335	434.672	22.517	24.475	NaN	NaN
1.024	3032.326	131788.502	698.265	406.263	29.298	27.345	NaN	NaN
1.001	3113.600	131673.912	702.008	424.400	34.951	21.969	NaN	NaN
1.019	3072.114	132344.237	691.741	449.386	19.624	23.549	NaN	NaN
1.007	3098.640	131322.111	705.365	417.258	20.863	23.843	NaN	NaN
1.015	3148.497	131782.584	724.302	444.436	29.563	26.607	NaN	NaN
1.002	3024.559	131589.267	673.343	435.928	32.919	15.961	NaN	NaN
1.001	3082.628	132648.873	710.992	446.367	33.952	25.963	NaN	NaN
1.006	3086.341	132163.810	694.029	469.315	31.818	17.898	NaN	NaN
1.002	2993.875	132512.921	702.563	419.143	25.947	19.959	NaN	NaN
1.000	3066.152	132518.335	728.798	442.877	24.993	20.994	NaN	NaN
1.010	3068.492	132557.257	723.047	465.523	28.724	24.762	NaN	NaN
1.020	2848.639	132295.594	672.228	409.608	29.398	19.598	NaN	NaN
1.005	3021.393	131335.052	742.411	419.970	21.894	18.909	NaN	NaN
1.005	3027.418	131934.516	725.505	423.958	36.823	21.895	NaN	NaN
